,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2
0,FOUR,NINE,burwood,3125,20140628,WkEnd,SDay,WrkngDy,sold,AptFlat,1.0986122886681098,0.6931471805599453,0.6931471805599453,57,33,4.127134385045092,Y,N,Y,N,108.5,116.5,5.176149732573829,1965,1.0986122886681098,1.6094379124341003,12.793862088206213,5.8888779583328805,2007,2015,9.7,13.3,0.0,18.1,0.18232155679395465,0.18232155679395465,1.0986122886681098,1.3454723665996355,520000,680000,0.0,,618667,13.415034483903348,739000
1,TWO,,burwood,3125,20141112,WkDay,WDay,WrkngDy,sold,AptFlat,1.0986122886681098,0.6931471805599453,0.6931471805599453,54,35,3.871201010907891,N,N,Y,N,108.5,116.5,6.952728644624869,1976,1.0986122886681098,1.0986122886681098,11.407576060361786,6.042632833682381,1988,2018,7.9,22.8,0.0,16.4,0.6418538861723948,0.4700036292457356,0.6418538861723948,1.1505720275988207,415000,985000,18.9,NrlyLvl,712667,13.389333939650964,670000
2,TWO,ONE,burwood,3125,20141014,WkDay,TuDay,WrkngDy,sold,AptHse,1.3862943611198906,0.6931471805599453,0.0,47,48,4.276666119016055,Y,N,Y,N,108.5,116.5,6.236369590203704,2005,0.6931471805599453,1.0986122886681098,0.0,0.0,0,2011,8.6,15.6,1.9459101490553132,17.4,0.7884573603642702,0.5306282510621704,1.0986122886681098,0.7793248768009976,690000,910000,0.0,NrlyLvl,1016333,13.579789490265188,1230000
3,ONE,,burwood,3125,20140412,WkEnd,SDay,WrkngDy,sold,AptFlat,1.0986122886681098,0.6931471805599453,0.6931471805599453,41,64,4.343805421853684,N,N,Y,N,108.5,116.5,6.748759547491679,1975,1.3862943611198906,0.0,13.384729180332174,0.0,2014,0,15.1,22.3,0.33647223662121295,17.1,0.6418538861723948,0.33647223662121295,1.1939224684724346,0.9042181506398859,660000,865000,20.5,NrlyLvl,713167,13.389333939650964,670000
4,,THREE,burwood,3125,20140222,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.6931471805599453,42,43,4.189654742026425,Y,N,Y,N,108.5,116.5,6.39024066706535,1960,1.0986122886681098,0.0,13.45883704259595,0.0,2014,0,14.1,19.3,0.4700036292457356,17.1,0.4700036292457356,0.262364264467491,0.9932517730102833,1.144222799920162,1180000,1580000,19.7,GntlyInclnd,1500333,14.33430494661736,1600000
5,FOUR,FOUR,burwood,3125,20160121,WkDay,ThDay,WrkngDy,sold,TwnHse,1.3862943611198906,1.0986122886681098,1.0986122886681098,44,65,4.143134726391533,N,N,Y,Y,108.5,116.5,6.658011045870748,2009,1.0986122886681098,1.0986122886681098,13.256896018612155,6.274762021241939,2009,2014,19.0,26.7,0.5877866649021191,18.8,0.6931471805599453,0.262364264467491,0.33647223662121295,1.000631880307906,725000,955000,0.0,ModInclnd,886667,13.71113955257964,795000
6,,SIX,burwood,3125,20150318,WkDay,WDay,WrkngDy,sold,TwnHse,1.6094379124341003,1.3862943611198906,1.0986122886681098,52,19,3.6635616461296463,N,N,Y,Y,108.5,116.5,5.60947179518496,2007,1.3862943611198906,0.0,13.398310362271738,0.0,2012,0,17.8,24.4,0.8754687373538999,19.0,1.0986122886681098,0.18232155679395465,1.2237754316221157,0.5068176023684519,925000,1230000,0.0,,1091667,14.030622744032508,1480000
7,,ONE,burwood,3125,20140531,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,1.0986122886681098,1.0986122886681098,69,26,3.7612001156935624,Y,N,N,Y,108.5,116.5,5.746203190540153,1996,1.9459101490553132,0.0,13.060490101343552,0.0,2006,0,7.5,18.9,0.0,19.3,1.0986122886681098,0.09531017980432487,0.4700036292457356,1.1755733298042381,1080000,1430000,0.0,GntlyInclnd,1268167,14.159100971573958,1190000
8,,EIGHT,burwood,3125,20141025,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,1.6094379124341003,64,30,3.9318256327243257,N,N,Y,N,108.5,116.5,6.424869023905388,1980,0.6931471805599453,0.0,0.0,0.0,0,0,14.1,18.2,0.0,20.3,0.9932517730102833,0.5877866649021191,0.832909122935104,0.8153648132841945,1030000,1360000,19.0,GntlyInclnd,1230167,13.711261646467772,1160000
9,ONE,,burwood,3125,20140816,WkEnd,SDay,WrkngDy,sold,TwnHse,1.3862943611198906,1.0986122886681098,1.0986122886681098,52,44,4.07753744390572,Y,N,Y,N,108.5,116.5,5.811140992976701,2004,1.3862943611198906,0.0,13.180634172318978,0.0,2007,0,5.4,11.7,0.0,16.7,0.33647223662121295,0.33647223662121295,0.9555114450274363,0.9400072584914712,880000,1170000,0.0,GntlyInclnd,990333,13.641158361294979,839000
10,,NINE,burwood,3125,20151104,WkDay,WDay,WrkngDy,sold,Hse,1.6094379124341003,1.0986122886681098,1.0986122886681098,66,48,4.23410650459726,Y,N,Y,Y,108.5,116.5,5.53338948872752,2015,1.0986122886681098,0.0,13.556741124342862,0.0,2011,0,10.9,27.2,0.0,19.4,0.9162907318741551,0.262364264467491,0.9932517730102833,1.2556160374777743,985000,1530000,0.0,NrlyLvl,1070333,13.972515161474428,985000
11,,ONE,burwood,3125,20151219,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.6931471805599453,42,45,4.204692619390966,Y,N,N,N,108.5,116.5,6.066108090103747,1960,1.0986122886681098,1.3862943611198906,12.023357011097826,5.981414211254481,1999,2011,19.2,41.2,0.0,16.7,0.262364264467491,0.262364264467491,0.9932517730102833,0.9321640810304452,880000,1170000,15.2,GntlyInclnd,1025333,14.285514812209815,1480000
12,,ONE,burwood,3125,20170916,WkEnd,SDay,WrkngDy,sold,TwnHse,1.3862943611198906,1.0986122886681098,1.0986122886681098,52,39,4.07753744390572,Y,N,Y,N,108.5,116.5,5.860786223465865,2001,0.6931471805599453,0.0,0.0,0.0,0,0,7.4,13.3,3.109060958860994,19.1,0.09531017980432487,0.09531017980432487,0.09531017980432487,1.095273387402595,800000,1060000,0.0,,886667,13.700100828786772,1410000
13,,EIGHT,burwood,3125,20150221,WkEnd,SDay,WrkngDy,sold,Hse,1.6094379124341003,1.0986122886681098,0.0,56,35,3.970291913552122,N,N,Y,N,108.5,116.5,6.456769655572163,1960,1.6094379124341003,0.0,13.28787951079572,0.0,2008,0,18.1,36.1,0.0,20.6,0.7884573603642702,0.262364264467491,0.5306282510621704,0.8878912573524571,1080000,1430000,16.0,GntlyInclnd,1392167,14.100690252077353,1200000
14,,THREE,burwood,3125,20141030,WkDay,ThDay,WrkngDy,sold,Hse,1.3862943611198906,1.0986122886681098,1.0986122886681098,42,43,4.189654742026425,Y,N,N,N,108.5,116.5,6.3784261836515865,2015,0.6931471805599453,0.0,0.0,0.0,0,0,13.4,21.3,0.0,17.0,0.5306282510621704,0.33647223662121295,0.9555114450274363,1.1631508098056809,1240000,1660000,0.0,,1412500,14.352004513273993,725000
15,ONE,SEVEN,burwood,3125,20170522,WkDay,MDay,WrkngDy,sold,TwnHse,1.3862943611198906,1.0986122886681098,1.0986122886681098,52,39,4.07753744390572,N,N,Y,Y,108.5,116.5,5.6937321388027,2010,0.6931471805599453,0.0,0.0,0.0,0,0,10.4,20.3,0.0,19.1,0.18232155679395465,0.18232155679395465,0.262364264467491,1.0986122886681098,975000,1290000,18.3,ModInclnd,907333,13.700100828786772,1410000
16,,ONE,burwood,3125,20150907,WkDay,MDay,WrkngDy,sold,Hse,1.6094379124341003,1.0986122886681098,1.0986122886681098,66,48,4.23410650459726,Y,N,Y,Y,108.5,116.5,5.746203190540153,2011,1.0986122886681098,0.0,13.676249640055394,0.0,2011,0,8.9,13.6,1.5260563034950492,18.5,0.9555114450274363,1.0296194171811581,1.2237754316221157,1.2669476034873244,925000,1230000,0.0,ModInclnd,1032000,13.972515161474428,985000
17,,NINE,burwood,3125,20150711,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,1.0986122886681098,56,35,3.970291913552122,N,N,Y,N,108.5,116.5,6.386879319362645,1950,1.3862943611198906,0.0,12.537176929007302,0.0,2005,0,10.9,13.1,0.18232155679395465,20.6,1.4350845252893227,1.7404661748405046,1.5040773967762742,0.9001613499442714,1030000,1360000,16.2,GntlyInclnd,1062667,13.963931425151141,1790000
18,,NINE,burwood,3125,20150323,WkDay,MDay,WrkngDy,sold,TwnHse,1.6094379124341003,1.0986122886681098,0.6931471805599453,48,41,4.204692619390966,Y,N,Y,Y,108.5,116.5,5.765191102784844,2014,1.3862943611198906,0.6931471805599453,12.847929163278053,6.493753839851686,2014,2015,13.6,27.0,0.0,18.1,0.6418538861723948,0.08157998699242289,0.8754687373538999,0.76080582903376,1030000,1360000,0.0,,1142000,13.800397935382136,1460000
19,ONE,FOUR,burwood,3125,20150713,WkDay,MDay,WrkngDy,sold,Hse,1.3862943611198906,1.0986122886681098,1.0986122886681098,43,44,4.23410650459726,Y,N,N,N,108.5,116.5,6.776506992372183,2015,0.6931471805599453,0.0,0.0,0.0,0,0,6.1,12.7,3.380994674344636,17.7,0.4054651081081644,0.18232155679395465,1.0296194171811581,0.8754687373538999,845000,1110000,0.0,GntlyInclnd,997667,13.711261646467772,891000
